index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
31,Pok̩mon Yellow: Special Pikachu Edition,GB,GB,1998,,Role-Playing,Nintendo,,5.89,5.04,3.12,0.59,14.64,\N,\N,\N,\N
32,Call of Duty: Black Ops,X360,X360,2010,M,Shooter,Activision,Treyarch,9.67,3.73,0.11,1.13,14.64,80,25,5.8,87
32,Call of Duty: Black Ops,X360,X360,2010,M,Shooter,Activision,Treyarch,9.67,3.73,0.11,1.13,14.64,88,58,6.4,1094
32,Call of Duty: Black Ops,X360,X360,2010,M,Shooter,Activision,Treyarch,9.67,3.73,0.11,1.13,14.64,87,89,6.3,1454
33,Pokemon X/Pokemon Y,3DS,3DS,2013,,Role-Playing,Nintendo,,5.17,4.05,4.34,0.79,14.35,\N,\N,\N,\N
34,Call of Duty: Black Ops 3,PS4,PS4,2015,,Shooter,Activision,,5.77,5.81,0.35,2.31,14.24,\N,\N,\N,\N
34,Call of Duty: Black Ops 3,PS4,PS4,2015,,Shooter,Activision,,5.77,5.81,0.35,2.31,14.24,\N,\N,\N,\N
34,Call of Duty: Black Ops 3,PS4,PS4,2015,,Shooter,Activision,,5.77,5.81,0.35,2.31,14.24,\N,\N,\N,\N
34,Call of Duty: Black Ops 3,PS4,PS4,2015,,Shooter,Activision,,5.77,5.81,0.35,2.31,14.24,\N,\N,\N,\N
35,Call of Duty: Black Ops II,PS3,PS3,2012,M,Shooter,Activision,Treyarch,4.99,5.88,0.65,2.52,14.03,74,11,4.2,1635
35,Call of Duty: Black Ops II,PS3,PS3,2012,M,Shooter,Activision,Treyarch,4.99,5.88,0.65,2.52,14.03,83,73,4.8,2256
35,Call of Duty: Black Ops II,PS3,PS3,2012,M,Shooter,Activision,Treyarch,4.99,5.88,0.65,2.52,14.03,83,21,5.3,922
36,Call of Duty: Black Ops II,X360,X360,2012,M,Shooter,Activision,Treyarch,8.25,4.3,0.07,1.12,13.73,74,11,4.2,1635
36,Call of Duty: Black Ops II,X360,X360,2012,M,Shooter,Activision,Treyarch,8.25,4.3,0.07,1.12,13.73,83,73,4.8,2256
36,Call of Duty: Black Ops II,X360,X360,2012,M,Shooter,Activision,Treyarch,8.25,4.3,0.07,1.12,13.73,83,21,5.3,922
37,Call of Duty: Modern Warfare 2,X360,X360,2009,M,Shooter,Activision,Infinity Ward,8.52,3.63,0.08,1.29,13.51,86,40,4.2,6430
37,Call of Duty: Modern Warfare 2,X360,X360,2009,M,Shooter,Activision,Infinity Ward,8.52,3.63,0.08,1.29,13.51,94,67,6.3,2073
37,Call of Duty: Modern Warfare 2,X360,X360,2009,M,Shooter,Activision,Infinity Ward,8.52,3.63,0.08,1.29,13.51,94,100,6.3,2698
